beta,alpha,gamma,delta,epsilon,psi,kappa1,kappa2,kappa3,omega,Ze,Zes,Zea,Zis,Zia,Zrp,v,phi,mu,N_0,E_init,t_init,loglik,loglik.se,rep,seed,start_beta,start_Einit,start_tinit
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,696.2158966667243,18312,-423.4785754105661,1.856152272165854,9,9000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,771.6990126282318,18312,-425.0644564451323,0.3025014553241868,10,10000500,0.01,5,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,14137.973702026598,18312,-424.1827118147275,1.1473293029051996,1,1005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3974.3607208870003,18312,-424.7081533986086,0.299479253857636,2,2005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,739.3555446357162,18312,-423.7271009721232,1.369446802932533,3,3005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,687.9596676685608,18312,-425.63757821512854,0.2528205004026275,4,4005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1657.4932261818085,18312,-424.782165672372,0.7454448441376038,5,5005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,1617.593939703111,18312,-424.1370432458666,0.7115594835455643,6,6005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,3724.425902419897,18312,-424.92543517383916,0.5464764769095923,7,7005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,7894.313013619515,18312,-425.3053513657016,0.7846736860289891,8,8005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,2902.9518681311383,18312,-424.25305529437554,1.5935326616733085,9,9005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,615.9514514699674,18312,-426.0111714223472,0.8773341106543527,10,10005000,0.01,50,18312
0.01,0.29411764705882354,0.4347826086956522,0.14285714285714285,0.63,0.7,0.35,1,1,0.04,0.1,0.7,0.7,0.8,0.8,0.3,0.99,0.6,1,226,440.92033981112655,18312,-425.22765778495716,1.0316430893111146,1,1000600,0.01,6,18312
